50*#
START: 20230802 00:00:00 US/Eastern END: 20230911 00:00:00 US/Eastern
20230911, TimePassed: 31 days, 3:00:00, reqId: 419, Date: 20230810 21:00:00 US/Eastern, O: 4495.0, H: 4496.0, L: 4491.25, C 4491.5
20230911, TimePassed: 31 days, 2:00:00, reqId: 419, Date: 20230810 22:00:00 US/Eastern, O: 4491.5, H: 4492.0, L: 4486.75, C 4488.0
20230911, TimePassed: 31 days, 1:00:00, reqId: 419, Date: 20230810 23:00:00 US/Eastern, O: 4488.25, H: 4490.5, L: 4483.75, C 4485.25
20230911, TimePassed: 31 days, 0:00:00, reqId: 419, Date: 20230811 00:00:00 US/Eastern, O: 4485.0, H: 4485.25, L: 4482.75, C 4484.0
20230911, TimePassed: 30 days, 23:00:00, reqId: 419, Date: 20230811 01:00:00 US/Eastern, O: 4484.25, H: 4489.5, L: 4482.25, C 4488.75
20230911, TimePassed: 30 days, 22:00:00, reqId: 419, Date: 20230811 02:00:00 US/Eastern, O: 4488.5, H: 4491.0, L: 4484.25, C 4489.75
20230911, TimePassed: 30 days, 21:00:00, reqId: 419, Date: 20230811 03:00:00 US/Eastern, O: 4490.0, H: 4494.5, L: 4487.5, C 4488.75
20230911, TimePassed: 30 days, 20:00:00, reqId: 419, Date: 20230811 04:00:00 US/Eastern, O: 4488.75, H: 4489.0, L: 4477.5, C 4481.5
20230911, TimePassed: 30 days, 19:00:00, reqId: 419, Date: 20230811 05:00:00 US/Eastern, O: 4481.5, H: 4486.75, L: 4476.0, C 4479.25
20230911, TimePassed: 30 days, 18:00:00, reqId: 419, Date: 20230811 06:00:00 US/Eastern, O: 4479.25, H: 4486.5, L: 4478.25, C 4481.5
20230911, TimePassed: 30 days, 17:00:00, reqId: 419, Date: 20230811 07:00:00 US/Eastern, O: 4481.25, H: 4487.0, L: 4480.25, C 4481.75
